ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489734,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520924,6.489841,4.611082,4.588919,15.98893,0.2756913,3.10501,0.4131185,,NONE
-1,6.520922,6.489843,4.611079,4.588922,15.98893,0.2757157,3.105009,0.4368864,,NONE
-1,6.520919,6.489846,4.611078,4.588923,15.98893,0.2757197,3.105009,0.4420963,,NONE
-1,6.520917,6.489851,4.611075,4.588926,15.98893,0.2757423,3.10501,0.5045429,,NONE
-1,6.520908,6.489857,4.611071,4.588931,15.98894,0.2757454,3.10501,0.6053228,,NONE
-1,6.5209,6.489864,4.611066,4.588935,15.98894,0.2757446,3.10501,0.7046922,,NONE
-1,6.520895,6.489871,4.611061,4.58894,15.98895,0.2757443,3.10501,0.8046331,,NONE
-1,6.52089,6.489877,4.611056,4.588945,15.98895,0.275744,3.10501,0.9035227,,NONE
-1,6.520882,6.489884,4.611052,4.58895,15.98896,0.2757443,3.10501,1.00441,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757436,3.10501,1.101739,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.275743,3.10501,1.204369,,NONE
-1,6.520878,6.489885,4.611051,4.588951,15.98896,0.2757432,3.10501,1.303359,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757431,3.10501,1.403033,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105011,1.501393,,NONE
-1,6.520879,6.489884,4.611051,4.588951,15.98896,0.2757432,3.10501,1.602255,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757432,3.10501,1.703145,,NONE
-1,6.520878,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105011,1.802084,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.903745,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757439,3.10501,2.00232,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105011,2.105443,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757446,3.10501,2.20423,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757445,3.10501,2.303372,,NONE
-1,6.520879,6.489885,4.611051,4.588951,15.98896,0.2757442,3.10501,2.404693,,NONE
