 ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action,ray1
6.521032,6.489734,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE,
6.520924,6.489841,4.611082,4.588919,15.98893,0.2756908,3.10501,0.4127332,,NONE,
6.520922,6.489843,4.611079,4.588922,15.98893,0.2757102,3.105009,0.430732,,NONE,
6.520919,6.489846,4.611078,4.588923,15.98893,0.2757152,3.105009,0.4364069,,NONE,
6.520917,6.489851,4.611075,4.588926,15.98893,0.2757426,3.105009,0.509656,,NONE,
6.520911,6.489855,4.611072,4.58893,15.98894,0.2757456,3.10501,0.6027812,,NONE,
6.5209,6.489863,4.611066,4.588935,15.98894,0.2757443,3.10501,0.7001096,,NONE,
6.520895,6.48987,4.611061,4.58894,15.98895,0.2757434,3.10501,0.8033888,,NONE,
6.52089,6.489877,4.611056,4.588945,15.98895,0.2757436,3.105009,0.9012286,,NONE,
6.520884,6.489882,4.611053,4.588949,15.98896,0.275745,3.105009,1.000485,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757438,3.10501,1.104159,,NONE,
6.520879,6.489884,4.611051,4.588951,15.98896,0.2757437,3.105012,1.200722,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757435,3.105012,1.302242,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.275743,3.105012,1.400045,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105012,1.502793,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757447,3.105012,1.600257,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757447,3.105012,1.702209,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105012,1.80301,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105012,1.90357,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105012,2.004101,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.275744,3.105012,2.105091,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105013,2.203924,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.275744,3.105012,2.303805,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105012,2.404305,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105012,2.503817,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105012,2.602685,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105012,2.704385,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105012,2.802241,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105012,2.903571,,NONE,
6.520878,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105012,3.004422,,NONE,
6.520905,6.489863,4.611048,4.588953,15.98896,0.2757257,3.145128,3.103051,,ACCELERATE,
6.520959,6.489805,4.61104,4.588961,15.98897,0.2757058,3.320534,3.200373,,ACCELERATE,
6.521032,6.489733,4.611033,4.588968,15.98898,0.2756982,3.648535,3.302567,,ACCELERATE,
6.521168,6.489598,4.611008,4.588994,15.98897,0.2863183,4.094504,3.401733,,ACCELERATE,
6.521417,6.48935,4.611077,4.588924,15.98893,0.2782566,4.67416,3.503456,,ACCELERATE,
6.521536,6.489233,4.611134,4.588868,15.98886,0.2799305,5.372334,3.604514,,ACCELERATE,
6.521691,6.489077,4.611205,4.588796,15.9888,0.278868,6.162625,3.703397,,ACCELERATE,
6.521903,6.488868,4.611276,4.588726,15.98872,0.2793551,7.057984,3.803257,,ACCELERATE,
6.522093,6.488677,4.611359,4.588643,15.98864,0.2790708,8.039246,3.902842,,ACCELERATE,
6.522343,6.48843,4.611456,4.588545,15.98854,0.2792103,9.111768,4.003603,,ACCELERATE,
6.522594,6.488175,4.611569,4.588432,15.98843,0.2791348,10.22884,4.102062,,ACCELERATE,
6.522913,6.487858,4.611713,4.588288,15.98828,0.2791733,11.45224,4.204264,,ACCELERATE,
6.523241,6.487531,4.611873,4.588129,15.98812,0.2791533,12.67395,4.301872,,ACCELERATE,
6.523609,6.487164,4.612057,4.587945,15.98794,0.279165,13.96949,4.401598,,ACCELERATE,
6.52401,6.486765,4.612264,4.587738,15.98773,0.2791574,15.30157,4.500943,,ACCELERATE,
6.524457,6.486322,4.612501,4.5875,15.98749,0.2791613,16.66815,4.600181,,ACCELERATE,
6.524935,6.485841,4.612764,4.587237,15.98723,0.2791584,18.08714,4.700907,,ACCELERATE,
6.525466,6.485312,4.61306,4.586942,15.98693,0.2791587,19.54109,4.802132,,ACCELERATE,
6.526021,6.484754,4.613375,4.586627,15.98661,0.2791578,20.98756,4.901212,,ACCELERATE,
6.526629,6.484149,4.613726,4.586276,15.98626,0.2791583,22.48232,5.002198,,ACCELERATE,
6.527275,6.483508,4.614101,4.5859,15.98589,0.2791594,23.99325,5.103644,,ACCELERATE,
6.527925,6.48286,4.614487,4.585515,15.9855,0.2791604,25.4507,5.201491,,ACCELERATE,
6.528624,6.482155,4.614908,4.585094,15.98508,0.2791596,26.94065,5.301518,,ACCELERATE,
6.52935,6.481428,4.615347,4.584655,15.98463,0.2791599,28.42145,5.400932,,ACCELERATE,
6.530139,6.480648,4.615826,4.584176,15.98416,0.2791596,29.92514,5.501883,,ACCELERATE,
6.530958,6.479829,4.616328,4.583674,15.98365,0.2791601,31.44756,5.604091,,ACCELERATE,
6.517402,6.492762,4.616851,4.583151,15.98313,0.2791601,32.92299,5.703143,,ACCELERATE,
6.437964,6.622211,4.617399,4.582603,15.98259,0.2791601,34.4208,5.803699,,ACCELERATE,
6.388129,6.758058,4.632524,4.569078,15.96494,0.2791593,35.90675,5.903486,,LEFT_ACCELERATE,
6.521038,6.629963,4.733558,4.47592,15.85822,0.2791633,37.37484,6.002376,,LEFT_ACCELERATE,
6.35161,7.102319,4.812262,4.386649,15.71329,0.2791616,38.86636,6.102987,,ACCELERATE,
6.135594,7.949065,4.818179,4.388506,15.56165,0.2791603,40.3475,6.202957,,LEFT_ACCELERATE,
6.171157,7.923924,4.81524,4.385262,15.30893,0.2791693,41.8124,6.302907,,LEFT_ACCELERATE,
6.511789,6.925524,4.917311,4.28933,14.86696,0.2791944,43.22867,6.402804,,LEFT_ACCELERATE,
7.27939,5.620948,5.200037,4.078443,14.18056,0.2792142,44.55085,6.503256,,LEFT_ACCELERATE,
8.360095,4.531876,5.689283,3.734628,13.26127,0.2792122,45.71149,6.603179,,LEFT_ACCELERATE,
9.356967,3.666224,6.291908,3.234027,12.16274,0.2791958,46.72399,6.703856,,LEFT_ACCELERATE,
9.914117,3.031757,6.816656,2.664762,11.0224,0.2791803,47.59724,6.800381,,LEFT_ACCELERATE,
9.913277,2.601426,7.212266,2.128209,9.781803,0.2791676,48.51484,6.904008,,ACCELERATE,
