ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,5.541817,5.515208,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,ACCELERATE
-1,5.541757,5.515268,4.611082,4.588919,15.98893,0.2757022,3.105009,0.4218237,ACCELERATE
-1,5.541754,5.51527,4.611079,4.588922,15.98893,0.2757195,3.105009,0.4418587,ACCELERATE
-1,5.541752,5.515274,4.611077,4.588924,15.98893,0.2757228,3.105009,0.4476898,ACCELERATE
-1,5.54175,5.515276,4.611075,4.588926,15.98893,0.2757424,3.105015,0.5038026,ACCELERATE
-1,5.541746,5.51528,4.611072,4.58893,15.98894,0.2757462,3.105019,0.6051447,ACCELERATE
-1,5.541737,5.515287,4.611066,4.588935,15.98894,0.2757445,3.105019,0.7001894,ACCELERATE
-1,5.541732,5.515293,4.611061,4.58894,15.98895,0.2757438,3.105019,0.8047335,ACCELERATE
-1,5.541728,5.515298,4.611056,4.588945,15.98895,0.2757442,3.105019,0.9030031,ACCELERATE
-1,5.54172,5.515305,4.611052,4.58895,15.98896,0.275744,3.105019,1.002006,ACCELERATE
-1,5.541718,5.515306,4.61105,4.588952,15.98896,0.2757431,3.105019,1.104545,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757435,3.105019,1.200876,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757431,3.105022,1.301456,ACCELERATE
-1,5.541719,5.515305,4.611051,4.588951,15.98896,0.2757439,3.105022,1.406411,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757447,3.105022,1.500914,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757447,3.105022,1.601221,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757446,3.105022,1.701267,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757445,3.105022,1.801637,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757443,3.105022,1.903854,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757445,3.105022,2.001126,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757442,3.105022,2.106127,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757443,3.105022,2.20362,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757441,3.105022,2.303646,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757443,3.105022,2.403463,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757445,3.105022,2.500473,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757443,3.105022,2.602251,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757444,3.105022,2.70345,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757443,3.105022,2.802329,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757445,3.105022,2.902316,ACCELERATE
-1,5.541719,5.515306,4.611051,4.588951,15.98896,0.2757443,3.105022,3.001208,ACCELERATE
-1,5.541732,5.515294,4.611048,4.588953,15.98896,0.2757249,3.147898,3.105348,ACCELERATE
-1,5.54176,5.515265,4.611039,4.588962,15.98897,0.2757057,3.326054,3.20246,ACCELERATE
-1,5.541798,5.515227,4.611033,4.588968,15.98898,0.2756979,3.64252,3.301059,ACCELERATE
-1,5.541863,5.515162,4.611011,4.588991,15.98897,0.2871074,4.086593,3.400206,ACCELERATE
-1,5.639747,5.422832,4.626211,4.575859,15.97223,0.2783923,4.677857,3.504136,LEFT_ACCELERATE
-1,6.084562,5.090169,4.732347,4.511608,15.88283,0.2801357,5.346913,3.602562,LEFT_ACCELERATE
-1,6.914548,4.648022,5.002602,4.371983,15.68078,0.2788632,6.114882,3.703319,LEFT_ACCELERATE
17.26206,7.601722,4.300145,5.310884,4.151612,15.4271,0.279435,6.93493,3.800508,LEFT_ACCELERATE
15.92598,8.029395,4.001733,5.598873,3.86889,15.14734,0.2791032,7.91635,3.905318,RIGHT_ACCELERATE
16.53311,8.17949,3.775122,5.818727,3.596637,14.90713,0.2792261,8.904812,4.00196,RIGHT_ACCELERATE
-1,7.959171,3.68105,5.929446,3.383318,14.73829,0.2791336,9.991433,4.100296,RIGHT_ACCELERATE
-1,8.011402,3.556276,6.056659,3.229439,14.59508,0.2791763,11.21504,4.204519,RIGHT_ACCELERATE
-1,7.833345,3.529009,6.124053,3.113671,14.49942,0.2791569,12.4174,4.301999,RIGHT_ACCELERATE
-1,7.79577,3.498624,6.172202,3.052071,14.44178,0.2791678,13.693,4.401352,ACCELERATE
-1,7.887282,3.415981,6.244152,2.980194,14.36944,0.2791576,15.028,4.501973,ACCELERATE
-1,7.993745,3.320099,6.327576,2.896902,14.28545,0.2791609,16.39649,4.602282,ACCELERATE
-1,8.105927,3.218815,6.415812,2.808751,14.19403,0.2791587,17.78844,4.701939,ACCELERATE
-1,8.221933,3.10603,6.51623,2.707087,14.09705,0.2791574,19.22512,4.802747,RIGHT_ACCELERATE
-1,8.09139,3.099087,6.563105,2.643455,14.04107,0.2791608,20.64747,4.900792,RIGHT_ACCELERATE
-1,8.086287,3.080334,6.588141,2.616346,14.01403,0.2791584,22.11452,5.000445,ACCELERATE
-1,8.127268,3.04124,6.621264,2.583239,13.98029,0.2791584,23.60628,5.100736,ACCELERATE
-1,8.176182,2.994709,6.660645,2.543888,13.94096,0.2791591,25.14198,5.203871,ACCELERATE
-1,8.22547,2.947708,6.700478,2.504076,13.90128,0.2791592,26.58169,5.300563,ACCELERATE
-1,8.27932,2.896276,6.744097,2.460472,13.85737,0.2791598,28.10248,5.402704,ACCELERATE
-1,8.333757,2.84424,6.788251,2.416329,13.81349,0.2791593,29.57697,5.501737,ACCELERATE
-1,8.389209,2.791203,6.833269,2.371322,13.76675,0.2791595,31.11567,5.605084,ACCELERATE
-1,8.435956,2.735628,6.880451,2.324148,13.7213,0.2791593,32.59206,5.704249,ACCELERATE
-1,8.423635,2.682185,6.925828,2.278779,13.6759,0.2791593,34.05379,5.802429,ACCELERATE
-1,8.378722,2.607599,6.97927,2.228289,13.62329,0.2791599,35.52844,5.901499,LEFT_ACCELERATE
19.82561,8.555108,2.405886,7.127193,2.104492,13.4852,0.279163,37.04008,6.00351,LEFT_ACCELERATE
18.87562,8.555898,2.257106,7.286811,1.92996,13.26754,0.2791632,38.51499,6.103621,ACCELERATE
17.47244,8.351625,2.277504,7.350771,1.848931,13.05919,0.279161,39.93908,6.200248,LEFT_ACCELERATE
16.48154,8.18085,2.371187,7.344748,1.859711,12.81196,0.27916,41.43816,6.302277,LEFT_ACCELERATE
15.1506,7.866373,2.662694,7.290254,1.954522,12.53765,0.2791604,42.88528,6.401165,ACCELERATE
13.92969,7.496095,3.189393,7.146514,2.174498,12.25218,0.27916,44.34617,6.501112,LEFT_ACCELERATE
13.45142,7.236287,3.649296,6.919269,2.41357,11.85221,0.2791701,45.81908,6.603737,LEFT_ACCELERATE
13.7117,7.147019,3.740336,6.728111,2.553598,11.27509,0.2791949,47.18398,6.703527,LEFT_ACCELERATE
14.73964,7.279708,3.482375,6.65548,2.567205,10.48753,0.2792136,48.39879,6.801144,LEFT_ACCELERATE
16.31504,7.626688,3.073882,6.753938,2.444514,9.424957,0.2792148,49.49697,6.904303,LEFT_ACCELERATE
17.6777,8.000584,2.700168,6.966685,2.239272,8.237909,0.2791994,50.37458,7.003853,LEFT_ACCELERATE
18.51058,8.204765,2.447763,7.187716,2.018865,6.967501,0.2791832,51.12586,7.103078,LEFT_ACCELERATE
17.9641,8.11215,2.428324,7.305277,1.89608,5.651424,0.2791687,51.85681,7.20418,ACCELERATE
16.62143,7.809323,2.725824,7.292935,1.963674,4.40029,0.2791644,52.58639,7.301436,ACCELERATE
15.21652,7.395158,3.389593,7.159019,2.218968,3.114078,0.2791615,53.36586,7.402414,LEFT_ACCELERATE
14.85215,7.011253,4.12942,6.88752,2.567254,1.820089,0.2791607,54.11012,7.502684,LEFT_ACCELERATE
16.56425,6.774126,4.425823,6.574332,2.837799,0.4573921,0.2791793,54.7237,7.603231,LEFT_ACCELERATE
-1,6.779854,4.195531,6.33373,2.958174,-0.9964551,0.2792057,55.12341,7.70484,LEFT_ACCELERATE
-1,7.08945,3.776763,6.290122,2.925691,-2.427667,0.2792044,55.25502,7.801705,LEFT_ACCELERATE
-1,7.63186,3.391176,6.391161,2.807124,-3.891238,0.2791894,55.19185,7.900289,LEFT_ACCELERATE
-1,8.151862,3.071729,6.575836,2.633805,-5.404913,0.2791748,55.02351,8.002592,LEFT_ACCELERATE
-1,8.38522,2.874942,6.738204,2.473944,-6.865199,0.2791651,54.86672,8.101218,ACCELERATE
-1,8.543963,2.724527,6.868155,2.343747,-8.365232,0.2791622,54.73699,8.202313,ACCELERATE
-1,8.678552,2.597156,6.978065,2.233661,-9.853549,0.2791623,54.62771,8.302506,ACCELERATE
-1,8.799698,2.482854,7.076568,2.135049,-11.36557,0.2791606,54.52912,8.404234,ACCELERATE
-1,8.906553,2.382315,7.163132,2.048424,-12.79356,0.2791607,54.44337,8.500276,ACCELERATE
-1,9.011369,2.283876,7.247837,1.96368,-14.29065,0.2791605,54.35851,8.600945,ACCELERATE
-1,9.074137,2.199754,7.324196,1.885079,-15.79036,0.2791612,54.28039,8.701766,RIGHT_ACCELERATE
-1,9.105082,2.138998,7.381379,1.825448,-17.30135,0.2791603,54.22234,8.803285,ACCELERATE
-1,9.171988,2.072096,7.438501,1.768312,-18.8041,0.2791608,54.16494,8.904243,ACCELERATE
-1,9.188325,2.006177,7.494742,1.712077,-20.27283,0.2791604,54.10872,9.00292,ACCELERATE
-1,9.12343,1.94066,7.55064,1.656186,-21.72435,0.2791604,54.05305,9.100438,ACCELERATE
-1,9.026966,1.858863,7.61696,1.59364,-23.23342,0.2791613,53.98774,9.20185,LEFT_ACCELERATE
18.91962,8.898715,1.792925,7.700693,1.505242,-24.72921,0.2791596,53.8868,9.302506,ACCELERATE
17.46489,8.631912,1.874358,7.71195,1.495053,-26.20004,0.2791612,53.78804,9.401472,ACCELERATE
15.96763,8.279689,2.136585,7.638539,1.59709,-27.70701,0.2791601,53.68914,9.502861,LEFT_ACCELERATE
14.88971,7.947081,2.521084,7.487388,1.793753,-29.15865,0.279161,53.56773,9.600691,LEFT_ACCELERATE
14.56956,7.762321,2.792686,7.300262,1.978468,-30.66009,0.2791762,53.30881,9.703171,LEFT_ACCELERATE
14.99055,7.781281,2.78978,7.177962,2.054777,-32.07227,0.2791989,52.848,9.803233,LEFT_ACCELERATE
16.14322,8.043153,2.525713,7.200876,1.996309,-33.38157,0.2792139,52.13333,9.903832,LEFT_ACCELERATE
17.06159,8.350297,2.238141,7.360053,1.839835,-34.50923,0.2792025,51.24292,10.00066,LEFT_ACCELERATE
17.34011,8.531881,1.999929,7.554821,1.643246,-35.60144,0.2791841,50.15516,10.10432,LEFT_ACCELERATE
16.65697,8.440883,1.973706,7.664484,1.544508,-36.57941,0.2791704,49.09873,10.20099,LEFT_ACCELERATE
16.44604,8.347457,2.029555,7.678019,1.5421,-37.54249,0.2791684,47.96852,10.30077,LEFT_ACCELERATE
16.35822,8.226891,2.14311,7.663493,1.578213,-38.41908,0.2791685,46.76233,10.40094,LEFT_ACCELERATE
15.19456,7.872867,2.609227,7.581214,1.760493,-39.28912,0.2791637,45.53205,10.50212,LEFT_ACCELERATE
14.255,7.452742,3.381778,7.357709,2.102836,-40.14934,0.2791606,44.31546,10.60217,LEFT_ACCELERATE
14.60884,7.131842,3.945054,7.046566,2.432563,-40.90893,0.2791673,43.0586,10.70091,LEFT_ACCELERATE
14.67772,6.776641,4.676307,6.746614,2.782273,-41.58447,0.2791679,41.70895,10.8023,LEFT_ACCELERATE
13.72251,6.299371,5.880751,6.429535,3.267907,-42.23457,0.2791646,40.36889,10.9023,LEFT_ACCELERATE
14.24717,5.86415,6.367551,5.977929,3.731377,-42.81908,0.2791663,39.01018,11.00171,LEFT_ACCELERATE
18.10745,5.596613,6.08152,5.531859,4.013078,-43.24243,0.279187,37.58304,11.1019,LEFT_ACCELERATE
-1,5.747149,5.38433,5.229115,4.061069,-43.42192,0.2792113,36.1277,11.20075,LEFT_ACCELERATE
-1,6.487854,4.619386,5.272595,3.933011,-43.32005,0.2792121,34.62492,11.30239,LEFT_ACCELERATE
-1,7.677799,3.955875,5.66808,3.66258,-42.99442,0.2791966,33.20319,11.40068,LEFT_ACCELERATE
12.7101,9.054976,3.329494,6.2533,3.241289,-42.52243,0.2791798,31.77811,11.50157,LEFT_ACCELERATE
10.90407,9.738968,2.821931,6.745074,2.741546,-42.04516,0.279169,30.33764,11.60353,RIGHT_ACCELERATE
12.31941,9.66068,2.506095,7.015772,2.350418,-41.69943,0.2791704,28.88925,11.70366,RIGHT_ACCELERATE
11.9959,9.863853,2.238187,7.259759,2.077271,-41.43733,0.2791641,27.4572,11.80142,RIGHT_ACCELERATE
14.47201,9.758298,2.044155,7.429163,1.845429,-41.22535,0.2791661,25.96098,11.90295,RIGHT_ACCELERATE
16.10604,9.759684,1.912334,7.547999,1.703344,-41.08913,0.2791643,24.51279,12.00061,ACCELERATE
14.73907,9.947959,1.748049,7.694315,1.55689,-40.94268,0.2791605,22.97115,12.10458,ACCELERATE
13.97738,10.09642,1.589723,7.835035,1.4118,-40.80009,0.279161,21.49116,12.2044,RIGHT_ACCELERATE
-1,9.929737,1.512488,7.906551,1.312613,-40.70782,0.2791628,20.01126,12.30398,RIGHT_ACCELERATE
-1,9.999292,1.432506,7.976509,1.241113,-40.6355,0.2791611,18.51951,12.40425,RIGHT_ACCELERATE
-1,9.88537,1.387115,8.023811,1.182398,-40.58192,0.279162,17.04608,12.50326,RIGHT_ACCELERATE
-1,9.595226,1.448076,7.997195,1.202837,-40.6048,0.2791633,15.57762,12.60189,RIGHT_ACCELERATE
-1,9.546896,1.489639,7.96378,1.23629,-40.63724,0.2791607,14.0545,12.70417,ACCELERATE
-1,9.520864,1.516589,7.941284,1.25878,-40.65941,0.2791607,12.60042,12.8018,ACCELERATE
-1,9.501294,1.536943,7.924273,1.275786,-40.67628,0.27916,11.10914,12.90192,ACCELERATE
-1,9.486073,1.55272,7.911096,1.288961,-40.68935,0.2791604,9.597473,13.00341,ACCELERATE
-1,9.347709,1.600966,7.889108,1.313014,-40.71616,0.2791614,8.08445,13.10503,RIGHT_ACCELERATE
-1,9.106999,1.731173,7.814853,1.3953,-40.79774,0.2791612,6.643106,13.20196,ACCELERATE
-1,9.003534,1.840372,7.727163,1.48309,-40.88436,0.2791623,5.142504,13.30288,ACCELERATE
-1,8.911954,1.938324,7.64808,1.562132,-40.96341,0.2791592,3.682904,13.40101,ACCELERATE
-1,8.820321,2.036256,7.56902,1.641154,-41.04276,0.2791603,2.148682,13.50415,LEFT_ACCELERATE
-1,8.816833,2.090572,7.506569,1.699029,-41.09975,0.2791608,0.7127157,13.60063,ACCELERATE
-1,8.75857,2.152957,7.455367,1.750122,-41.15087,0.2791603,-0.8031089,13.70246,ACCELERATE
-1,8.700689,2.213655,7.405993,1.799489,-41.20041,0.2791607,-2.261082,13.80039,ACCELERATE
-1,8.640885,2.276314,7.355041,1.850437,-41.2514,0.2791599,-3.753979,13.90068,ACCELERATE
-1,8.579555,2.340582,7.302776,1.902699,-41.30349,0.2791604,-5.273601,14.00276,ACCELERATE
-1,8.520263,2.402717,7.252244,1.953227,-41.35406,0.2791606,-6.745856,14.10166,ACCELERATE
-1,8.458654,2.46728,7.199734,2.005732,-41.4064,0.2791614,-8.267652,14.20389,ACCELERATE
-1,8.400857,2.527846,7.150472,2.054989,-41.4557,0.2791591,-9.699886,14.30009,ACCELERATE
-1,8.339019,2.592648,7.097764,2.107692,-41.50827,0.2791605,-11.22662,14.40265,ACCELERATE
-1,8.279813,2.65469,7.0473,2.158151,-41.55883,0.2791612,-12.69445,14.50125,ACCELERATE
-1,8.218076,2.719381,6.994679,2.210767,-41.61127,0.2791609,-14.2178,14.60358,ACCELERATE
-1,8.262142,2.732133,6.954632,2.24678,-41.64642,0.2791605,-15.67533,14.70148,LEFT_ACCELERATE
-1,8.302752,2.721076,6.949955,2.250422,-41.65044,0.2791601,-17.21193,14.80464,ACCELERATE
-1,8.292491,2.728664,6.943624,2.25675,-41.65696,0.2791612,-18.6956,14.90425,ACCELERATE
-1,8.231967,2.739018,6.9351,2.265276,-41.66558,0.27916,-20.15113,15.00197,ACCELERATE
19.38849,8.172382,2.70714,6.936587,2.263703,-41.66145,0.2791605,-21.6669,15.10374,LEFT_ACCELERATE
19.33702,8.377025,2.522169,7.047567,2.170635,-41.55538,0.2791703,-23.12086,15.20176,LEFT_ACCELERATE
19.57022,8.724005,2.225706,7.285336,1.959452,-41.28201,0.2791759,-24.57436,15.30123,LEFT_ACCELERATE
18.76425,8.775508,2.014603,7.483264,1.731297,-40.91765,0.2791668,-26.03644,15.40241,ACCELERATE
17.44963,8.601249,1.975037,7.577481,1.62151,-40.55778,0.2791625,-27.49011,15.50296,LEFT_ACCELERATE
16.22028,8.371424,2.075006,7.601013,1.614721,-40.18929,0.2791612,-28.90444,15.60109,ACCELERATE
14.71248,7.97966,2.474456,7.513817,1.761902,-39.81458,0.2791609,-30.38623,15.7037,ACCELERATE
13.51834,7.568188,3.123681,7.330935,2.037731,-39.45168,0.2791611,-31.79009,15.80106,LEFT_ACCELERATE
12.96896,7.234489,3.768758,7.048517,2.352921,-38.96257,0.2791703,-33.24154,15.90405,LEFT_ACCELERATE
13.13214,7.063274,3.99008,6.792006,2.558556,-38.32407,0.2791947,-34.5364,16.00126,LEFT_ACCELERATE
14.06512,7.105114,3.776723,6.624142,2.634799,-37.44809,0.2792139,-35.73027,16.10111,LEFT_ACCELERATE
15.62782,7.349084,3.385717,6.629697,2.578773,-36.32901,0.2792206,-36.7555,16.20358,LEFT_ACCELERATE
17.81116,7.7535,2.961335,6.793073,2.410625,-35.09569,0.2792101,-37.52211,16.30169,LEFT_ACCELERATE
-1,8.149774,2.583903,7.046062,2.168186,-33.70923,0.279193,-38.12764,16.40369,LEFT_ACCELERATE
-1,8.307977,2.352152,7.256292,1.945178,-32.31135,0.2791769,-38.61623,16.50319,LEFT_ACCELERATE
-1,8.157368,2.377467,7.359796,1.852814,-30.8931,0.2791659,-39.1081,16.604,ACCELERATE
-1,7.855024,2.673895,7.323362,1.939573,-29.50754,0.2791625,-39.62561,16.70332,LEFT_ACCELERATE
-1,7.557871,3.096664,7.177858,2.140045,-28.15303,0.2791597,-40.126,16.80028,LEFT_ACCELERATE
-1,7.396703,3.319818,6.970041,2.333264,-26.67257,0.2791705,-40.5444,16.90375,LEFT_ACCELERATE
-1,7.352809,3.392835,6.835978,2.454573,-25.23209,0.2791729,-40.79177,17.002,LEFT_ACCELERATE
-1,7.203681,3.597256,6.699531,2.628986,-23.75132,0.2791654,-40.99412,17.10236,ACCELERATE
-1,7.005538,3.851657,6.508342,2.831246,-22.14795,0.279161,-41.22556,17.21113,LEFT_ACCELERATE
-1,7.028804,3.860356,6.287189,2.970976,-20.82918,0.2791632,-41.35531,17.30017,LEFT_ACCELERATE
-1,7.334957,3.648587,6.234261,2.970542,-19.31859,0.2791721,-41.36664,17.4017,LEFT_ACCELERATE
-1,7.482094,3.544821,6.274306,2.926334,-17.85419,0.2791642,-41.32484,17.50008,ACCELERATE
-1,7.512363,3.513684,6.300325,2.900333,-16.32957,0.2791631,-41.29974,17.60246,ACCELERATE
-1,7.522597,3.502596,6.310019,2.890667,-14.84938,0.2791597,-41.29048,17.70183,ACCELERATE
-1,7.521697,3.503074,6.309978,2.890726,-13.36724,0.2791615,-41.29076,17.80134,ACCELERATE
-1,7.513335,3.511305,6.303406,2.897311,-11.84307,0.27916,-41.2975,17.90366,ACCELERATE
-1,7.548348,3.497859,6.297525,2.902553,-10.37366,0.2791599,-41.30158,18.00231,LEFT_ACCELERATE
-1,7.800741,3.355776,6.353442,2.851181,-8.850693,0.2791592,-41.24599,18.10466,LEFT_ACCELERATE
-1,7.856285,3.277516,6.418671,2.786202,-7.418831,0.2791606,-41.18167,18.20088,ACCELERATE
19.97538,7.824826,3.203374,6.481801,2.723053,-5.86913,0.27916,-41.11865,18.30501,ACCELERATE
18.71052,7.744303,3.156022,6.543742,2.663968,-4.453682,0.2791602,-41.05866,18.40012,LEFT_ACCELERATE
18.37841,7.855289,3.014525,6.658645,2.553427,-2.939036,0.2791665,-40.91535,18.50238,LEFT_ACCELERATE
19.00882,8.261174,2.687478,6.88613,2.362347,-1.440151,0.279185,-40.58513,18.60568,LEFT_ACCELERATE
19.37466,8.679029,2.317915,7.189601,2.081626,-0.09562084,0.2791802,-40.10492,18.70172,LEFT_ACCELERATE
18.69459,8.794479,2.044293,7.445343,1.793252,1.270756,0.27917,-39.52639,18.80138,LEFT_ACCELERATE
17.27598,8.60341,1.971714,7.571025,1.626906,2.665583,0.2791634,-38.94606,18.90281,LEFT_ACCELERATE
16.47194,8.475483,1.993431,7.621377,1.581457,4.022315,0.2791616,-38.35246,19.00228,LEFT_ACCELERATE
15.68645,8.298096,2.095991,7.624292,1.590706,5.347457,0.2791644,-37.67937,19.10209,LEFT_ACCELERATE
14.33031,7.914691,2.544791,7.541998,1.757033,6.703842,0.2791619,-36.98083,19.20453,LEFT_ACCELERATE
13.61418,7.592048,3.091434,7.345163,2.014051,7.953586,0.279164,-36.27495,19.30097,LEFT_ACCELERATE
13.64139,7.383797,3.435905,7.101939,2.243045,9.207235,0.2791868,-35.36554,19.40521,LEFT_ACCELERATE
