ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489736,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,NONE
-1,6.520921,6.489841,4.611082,4.588919,15.98893,0.2757164,3.105009,0.4376549,ACCELERATE
-1,6.520922,6.489846,4.611078,4.588923,15.98893,0.2757314,3.105009,0.4638836,ACCELERATE
-1,6.520917,6.489847,4.611077,4.588924,15.98893,0.2757333,3.105009,0.4693075,ACCELERATE
-1,6.520916,6.489851,4.611075,4.588926,15.98893,0.2757422,3.105011,0.507179,ACCELERATE
-1,6.52091,6.489855,4.611072,4.58893,15.98894,0.2757456,3.105011,0.6022798,ACCELERATE
-1,6.5209,6.489862,4.611067,4.588934,15.98894,0.2757443,3.105013,0.7044987,ACCELERATE
-1,6.520896,6.489869,4.611062,4.588939,15.98895,0.2757444,3.105013,0.801037,ACCELERATE
-1,6.520888,6.489877,4.611056,4.588945,15.98895,0.2757437,3.105013,0.9009942,NONE
-1,6.520878,6.489883,4.611052,4.58895,15.98896,0.2757448,3.105013,1.003576,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757435,3.105013,1.101973,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757439,3.105013,1.20389,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757431,3.105013,1.300549,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757435,3.105013,1.401151,NONE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757432,3.105013,1.504317,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105013,1.60257,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105013,1.703901,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757449,3.105013,1.801684,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757448,3.105013,1.901896,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105013,2.003558,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105013,2.100261,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105013,2.203937,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105013,2.300664,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757447,3.105013,2.403095,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105013,2.502656,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105013,2.602774,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105013,2.700777,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105013,2.80386,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105013,2.90287,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757448,3.105013,3.003623,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757439,3.105013,3.102386,NONE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757448,3.105013,3.202123,NONE
-1,6.520891,6.489876,4.611049,4.588953,15.98896,0.2757334,3.123983,3.3007,ACCELERATE
-1,6.520947,6.489818,4.611042,4.588959,15.98897,0.2757086,3.273414,3.400407,ACCELERATE
-1,6.521015,6.489748,4.611034,4.588967,15.98898,0.2756989,3.576418,3.50342,ACCELERATE
-1,6.521094,6.489671,4.611031,4.588971,15.98898,0.2771052,4.001457,3.602447,ACCELERATE
-1,6.521384,6.489383,4.611045,4.588956,15.98894,0.2816403,4.554384,3.704018,ACCELERATE
-1,6.521555,6.489214,4.611128,4.588873,15.98888,0.2785262,5.215881,3.803225,ACCELERATE
-1,6.521688,6.489079,4.611187,4.588814,15.98881,0.2797084,5.979879,3.901669,ACCELERATE
-1,6.521836,6.488928,4.611263,4.588738,15.98874,0.2789911,6.875484,4.003692,ACCELERATE
-1,6.52204,6.48873,4.611335,4.588666,15.98866,0.2793133,7.812125,4.100543,ACCELERATE
